"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC-008: Customer cannot access banking features without an account; access enabled after manager creates one.","3909","tc008_customerAccessBeforeAndAfterAccountCreation","XYZ Bank Automation Suite","2026-05-29","passed","2026-05-29","com.xyzbank.tests.ManagerTest","Bank Manager Tests","com.xyzbank.tests.ManagerTest","tc008_customerAccessBeforeAndAfterAccountCreation"
"TC-018: Withdrawal of $99999 (exceeds balance) should be rejected. Balance unchanged. (AC6)","5875","tc018_withdrawalRejectedWhenExceedsBalance","XYZ Bank Automation Suite","2026-05-29","passed","2026-05-29","com.xyzbank.tests.CustomerTest","Customer Tests","com.xyzbank.tests.CustomerTest","tc018_withdrawalRejectedWhenExceedsBalance"
"TC-006: Bank manager creates an account for a customer. Expects account number in success alert.","2846","tc006_openAccountForExistingCustomer","XYZ Bank Automation Suite","2026-05-29","passed","2026-05-29","com.xyzbank.tests.ManagerTest","Bank Manager Tests","com.xyzbank.tests.ManagerTest","tc006_openAccountForExistingCustomer"
"Data-driven: deposit and withdrawal edge cases from CSV (AC5 & AC6).","5091","tc_datadriven_transactionValidation","XYZ Bank Automation Suite","2026-05-29","passed","2026-05-29","com.xyzbank.tests.CustomerTest","Customer Tests","com.xyzbank.tests.CustomerTest","tc_datadriven_transactionValidation"
"TC-009: Bank manager deletes a customer. Customer should no longer appear in the list.","13136","tc009_deleteCustomer","XYZ Bank Automation Suite","2026-05-29","passed","2026-05-29","com.xyzbank.tests.ManagerTest","Bank Manager Tests","com.xyzbank.tests.ManagerTest","tc009_deleteCustomer"
"Data-driven: validates that the Add Customer form enforces AC1 (alphabetic names, numeric post codes).","2038","tc002_004_005_addCustomerValidation","XYZ Bank Automation Suite","2026-05-29","passed","2026-05-29","com.xyzbank.tests.ManagerTest","Bank Manager Tests","com.xyzbank.tests.ManagerTest","tc002_004_005_addCustomerValidation"
"Data-driven: deposit and withdrawal edge cases from CSV (AC5 & AC6).","5113","tc_datadriven_transactionValidation","XYZ Bank Automation Suite","2026-05-29","passed","2026-05-29","com.xyzbank.tests.CustomerTest","Customer Tests","com.xyzbank.tests.CustomerTest","tc_datadriven_transactionValidation"
"Data-driven: deposit and withdrawal edge cases from CSV (AC5 & AC6).","5787","tc_datadriven_transactionValidation","XYZ Bank Automation Suite","2026-05-29","passed","2026-05-29","com.xyzbank.tests.CustomerTest","Customer Tests","com.xyzbank.tests.CustomerTest","tc_datadriven_transactionValidation"
"TC-003: Withdrawal of -100 should be rejected. Balance unchanged. (AC6 — known defect)","6949","tc003_withdrawRejectsNegativeAmount","XYZ Bank Automation Suite","2026-05-29","passed","2026-05-29","com.xyzbank.tests.CustomerTest","Customer Tests","com.xyzbank.tests.CustomerTest","tc003_withdrawRejectsNegativeAmount"
"TC-013: Withdrawal from a zero-balance account should be rejected. Balance stays 0. (AC6)","5139","tc013_withdrawRejectedOnZeroBalance","XYZ Bank Automation Suite","2026-05-29","passed","2026-05-29","com.xyzbank.tests.CustomerTest","Customer Tests","com.xyzbank.tests.CustomerTest","tc013_withdrawRejectedOnZeroBalance"
